ANO,MÊS,LOCALIZAÇÃO,PRODUTO,PRODUÇÃO,REGIÃO
2007-01-01,NOV,MAR,GÁS NATURAL,"1011875,925",BRASIL
2007-01-01,OUT,MAR,GÁS NATURAL,"1028519,772",BRASIL
2007-01-01,SET,MAR,GÁS NATURAL,"960919,0",BRASIL
2007-01-01,ABR,TERRA,GÁS NATURAL,"515064,522",BRASIL
2007-01-01,AGO,TERRA,GÁS NATURAL,"539676,954",BRASIL
2007-01-01,DEZ,TERRA,GÁS NATURAL,"532174,149",BRASIL
2007-01-01,FEV,TERRA,GÁS NATURAL,"495684,886",BRASIL
2007-01-01,JAN,TERRA,GÁS NATURAL,"540406,588",BRASIL
2007-01-01,JUL,TERRA,GÁS NATURAL,"531403,282",BRASIL
2007-01-01,JUN,TERRA,GÁS NATURAL,"523818,73099999997",BRASIL
2007-01-01,MAI,TERRA,GÁS NATURAL,"513389,433",BRASIL
2007-01-01,MAR,TERRA,GÁS NATURAL,"543238,664",BRASIL
2007-01-01,NOV,TERRA,GÁS NATURAL,"524756,698",BRASIL
2007-01-01,OUT,TERRA,GÁS NATURAL,"512060,502",BRASIL
2007-01-01,SET,TERRA,GÁS NATURAL,"511236,812",BRASIL
2008-01-01,ABR,MAR,GÁS NATURAL,"1224063,76267",BRASIL
2008-01-01,AGO,MAR,GÁS NATURAL,"1353970,6596",BRASIL
2008-01-01,DEZ,MAR,GÁS NATURAL,"1310605,40144",BRASIL
2008-01-01,FEV,MAR,GÁS NATURAL,"1150966,1945",BRASIL
2008-01-01,JAN,MAR,GÁS NATURAL,"1136855,0067",BRASIL
2008-01-01,JUL,MAR,GÁS NATURAL,"1340341,75165",BRASIL
2008-01-01,JUN,MAR,GÁS NATURAL,"1308749,10884",BRASIL
2008-01-01,MAI,MAR,GÁS NATURAL,"1278935,26603",BRASIL
2008-01-01,MAR,MAR,GÁS NATURAL,"1255055,4564999999",BRASIL
2008-01-01,NOV,MAR,GÁS NATURAL,"1259668,56616",BRASIL
2008-01-01,OUT,MAR,GÁS NATURAL,"1396163,21353",BRASIL
2008-01-01,SET,MAR,GÁS NATURAL,"1304175,80036",BRASIL
2008-01-01,ABR,TERRA,GÁS NATURAL,"518947,45146999997",BRASIL
2008-01-01,AGO,TERRA,GÁS NATURAL,"538887,1454800001",BRASIL
2008-01-01,DEZ,TERRA,GÁS NATURAL,"522205,00205",BRASIL
2008-01-01,FEV,TERRA,GÁS NATURAL,"495178,25800000003",BRASIL
2008-01-01,JAN,TERRA,GÁS NATURAL,"547122,326",BRASIL
2008-01-01,JUL,TERRA,GÁS NATURAL,"531782,3517",BRASIL
2008-01-01,JUN,TERRA,GÁS NATURAL,"522371,09843",BRASIL
2008-01-01,MAI,TERRA,GÁS NATURAL,"506734,81855",BRASIL
2008-01-01,MAR,TERRA,GÁS NATURAL,"536587,504",BRASIL
2008-01-01,NOV,TERRA,GÁS NATURAL,"508259,06494999997",BRASIL
2008-01-01,OUT,TERRA,GÁS NATURAL,"528144,3821299999",BRASIL
2008-01-01,SET,TERRA,GÁS NATURAL,"516882,81045",BRASIL
2009-01-01,ABR,MAR,GÁS NATURAL,"1177668,81476",BRASIL
2009-01-01,AGO,MAR,GÁS NATURAL,"1249454,7604699999",BRASIL
2009-01-01,DEZ,MAR,GÁS NATURAL,"1353829,0631900001",BRASIL
2009-01-01,FEV,MAR,GÁS NATURAL,"1106562,72038",BRASIL
2009-01-01,JAN,MAR,GÁS NATURAL,"1145714,27707",BRASIL
2009-01-01,JUL,MAR,GÁS NATURAL,"1279185,1689",BRASIL
2009-01-01,JUN,MAR,GÁS NATURAL,"1276892,80401",BRASIL
2009-01-01,MAI,MAR,GÁS NATURAL,"1308959,12033",BRASIL
2009-01-01,MAR,MAR,GÁS NATURAL,"1284678,87856",BRASIL
2009-01-01,NOV,MAR,GÁS NATURAL,"1279335,85656",BRASIL
2009-01-01,OUT,MAR,GÁS NATURAL,"1327004,1149300002",BRASIL
2009-01-01,SET,MAR,GÁS NATURAL,"1307025,01351",BRASIL
2009-01-01,ABR,TERRA,GÁS NATURAL,"505575,98141999997",BRASIL
2009-01-01,AGO,TERRA,GÁS NATURAL,"518601,56474",BRASIL
2009-01-01,DEZ,TERRA,GÁS NATURAL,"519880,19439",BRASIL
2009-01-01,FEV,TERRA,GÁS NATURAL,"463342,67286999995",BRASIL
2009-01-01,JAN,TERRA,GÁS NATURAL,"512966,72101",BRASIL
2009-01-01,JUL,TERRA,GÁS NATURAL,"518987,33124999993",BRASIL
2009-01-01,JUN,TERRA,GÁS NATURAL,"495373,74132000003",BRASIL
2009-01-01,MAI,TERRA,GÁS NATURAL,"501758,25560000003",BRASIL
2009-01-01,MAR,TERRA,GÁS NATURAL,"506947,68569",BRASIL
2009-01-01,NOV,TERRA,GÁS NATURAL,"494146,47377000004",BRASIL
2009-01-01,OUT,TERRA,GÁS NATURAL,"515930,6109",BRASIL
2009-01-01,SET,TERRA,GÁS NATURAL,"491697,80399999995",BRASIL
2010-01-01,ABR,MAR,GÁS NATURAL,"1332905,41669",BRASIL
2010-01-01,AGO,MAR,GÁS NATURAL,"1416294,67625",BRASIL
2010-01-01,DEZ,MAR,GÁS NATURAL,"1626771,45197",BRASIL
2010-01-01,FEV,MAR,GÁS NATURAL,"1229019,35198",BRASIL
2010-01-01,JAN,MAR,GÁS NATURAL,"1293989,1133299998",BRASIL
2010-01-01,JUL,MAR,GÁS NATURAL,"1417300,8509799999",BRASIL
2010-01-01,JUN,MAR,GÁS NATURAL,"1385229,42816",BRASIL
2010-01-01,MAI,MAR,GÁS NATURAL,"1403408,35323",BRASIL
2010-01-01,MAR,MAR,GÁS NATURAL,"1337040,45697",BRASIL
2010-01-01,NOV,MAR,GÁS NATURAL,"1497160,85444",BRASIL
2010-01-01,OUT,MAR,GÁS NATURAL,"1550073,34831",BRASIL
2010-01-01,SET,MAR,GÁS NATURAL,"1425234,99487",BRASIL
2010-01-01,ABR,TERRA,GÁS NATURAL,"503567,77874000004",BRASIL
2010-01-01,AGO,TERRA,GÁS NATURAL,"521563,33346",BRASIL
2010-01-01,DEZ,TERRA,GÁS NATURAL,"518733,87237999996",BRASIL
2010-01-01,FEV,TERRA,GÁS NATURAL,"465777,20761",BRASIL
2010-01-01,JAN,TERRA,GÁS NATURAL,"521150,90991",BRASIL
2010-01-01,JUL,TERRA,GÁS NATURAL,"516754,98218",BRASIL
2010-01-01,JUN,TERRA,GÁS NATURAL,"502054,65533",BRASIL
2010-01-01,MAI,TERRA,GÁS NATURAL,"521488,90713999997",BRASIL
2010-01-01,MAR,TERRA,GÁS NATURAL,"506701,05859",BRASIL
2010-01-01,NOV,TERRA,GÁS NATURAL,"489854,90647",BRASIL
2010-01-01,OUT,TERRA,GÁS NATURAL,"463966,31392",BRASIL
2010-01-01,SET,TERRA,GÁS NATURAL,"492404,29003000003",BRASIL
2011-01-01,ABR,MAR,GÁS NATURAL,"1370373,21157",BRASIL
2011-01-01,AGO,MAR,GÁS NATURAL,"1538254,25808",BRASIL
2011-01-01,DEZ,MAR,GÁS NATURAL,"1685822,22652",BRASIL
2011-01-01,FEV,MAR,GÁS NATURAL,"1289142,35916",BRASIL
2011-01-01,JAN,MAR,GÁS NATURAL,"1536634,84834",BRASIL
2011-01-01,JUL,MAR,GÁS NATURAL,"1546923,41568",BRASIL
2011-01-01,JUN,MAR,GÁS NATURAL,"1501088,42784",BRASIL
2011-01-01,MAI,MAR,GÁS NATURAL,"1531900,10727",BRASIL
2011-01-01,MAR,MAR,GÁS NATURAL,"1395739,6750699999",BRASIL
2011-01-01,NOV,MAR,GÁS NATURAL,"1547654,37243",BRASIL
2011-01-01,OUT,MAR,GÁS NATURAL,"1534564,9777",BRASIL
2011-01-01,SET,MAR,GÁS NATURAL,"1447875,82801",BRASIL
2011-01-01,ABR,TERRA,GÁS NATURAL,"505931,91127",BRASIL
2011-01-01,AGO,TERRA,GÁS NATURAL,"523928,96904999996",BRASIL
2011-01-01,DEZ,TERRA,GÁS NATURAL,"526332,32955",BRASIL
2011-01-01,FEV,TERRA,GÁS NATURAL,"469744,19895",BRASIL
2011-01-01,JAN,TERRA,GÁS NATURAL,"517299,27572",BRASIL
2011-01-01,JUL,TERRA,GÁS NATURAL,"526311,97713",BRASIL
2011-01-01,JUN,TERRA,GÁS NATURAL,"516946,29218",BRASIL
2011-01-01,MAI,TERRA,GÁS NATURAL,"534753,07938",BRASIL
2011-01-01,MAR,TERRA,GÁS NATURAL,"508770,01113",BRASIL
2011-01-01,NOV,TERRA,GÁS NATURAL,"488378,15614000004",BRASIL
2011-01-01,OUT,TERRA,GÁS NATURAL,"519412,55671000003",BRASIL
2011-01-01,SET,TERRA,GÁS NATURAL,"509948,11258",BRASIL
2012-01-01,ABR,MAR,GÁS NATURAL,"1485661,3372900002",BRASIL
