Região,Setor,Atividade,Ano,Valor
Nordeste,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2014-01-01,"4,017931092934464"
Nordeste,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2014-01-01,"1,6633470879210979"
Nordeste,Agropecuária,"Produção florestal, pesca e aquicultura",2014-01-01,"0,6431516297642129"
Nordeste,Indústria,Indústrias extrativas,2014-01-01,"1,6298537248635503"
Nordeste,Indústria,Indústrias de transformação,2014-01-01,"7,675572835038468"
Nordeste,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2014-01-01,"2,1566775209350526"
Nordeste,Indústria,Construção,2014-01-01,"7,9306575615065125"
Nordeste,Serviços,Comércio e reparação de veículos automotores e motocicletas,2014-01-01,"15,011111535165448"
Nordeste,Serviços,"Transporte, armazenagem e correio",2014-01-01,"3,6025967025080408"
Nordeste,Serviços,Alojamento e alimentação,2014-01-01,"3,130933876370818"
Nordeste,Serviços,Informação e comunicação,2014-01-01,"1,8693077083248764"
Nordeste,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2014-01-01,"3,17552648248577"
Nordeste,Serviços,Atividades imobiliárias,2014-01-01,"9,973900921356107"
Nordeste,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2014-01-01,"6,781669217373179"
Nordeste,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2014-01-01,"24,271616890089327"
Nordeste,Serviços,Educação e saúde privadas,2014-01-01,"3,501073818457909"
Nordeste,Serviços,"Artes, cultura, esporte e recreação e outras atividades de serviços",2014-01-01,"1,6996421493630343"
Nordeste,Serviços,Serviços domésticos,2014-01-01,"1,265429245542121"
Nordeste,Agropecuária,"Agricultura, inclusive apoio à agricultura e a pós-colheita",2015-01-01,"3,9912218389517418"
Nordeste,Agropecuária,"Pecuária, inclusive apoio à Pecuária",2015-01-01,"1,8139862787626793"
Nordeste,Agropecuária,"Produção florestal, pesca e aquicultura",2015-01-01,"0,6589554741816338"
Nordeste,Indústria,Indústrias extrativas,2015-01-01,"0,963906860525555"
Nordeste,Indústria,Indústrias de transformação,2015-01-01,"9,047728315119766"
Nordeste,Indústria,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",2015-01-01,"2,5903366770964786"
Nordeste,Indústria,Construção,2015-01-01,"7,337991985496907"
Nordeste,Serviços,Comércio e reparação de veículos automotores e motocicletas,2015-01-01,"13,835821912172552"
Nordeste,Serviços,"Transporte, armazenagem e correio",2015-01-01,"3,6366904462589664"
Nordeste,Serviços,Alojamento e alimentação,2015-01-01,"2,943132822906527"
Nordeste,Serviços,Informação e comunicação,2015-01-01,"1,7596217441828237"
Nordeste,Serviços,"Atividades financeiras, de seguros e serviços relacionados",2015-01-01,"3,517314349554821"
Nordeste,Serviços,Atividades imobiliárias,2015-01-01,"10,26079530031406"
Nordeste,Serviços,"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",2015-01-01,"6,11797871311282"
Nordeste,Serviços,"Administração, defesa, educação e saúde públicas e seguridade social",2015-01-01,"24,745017863266128"
